ID,Active,Gender,Age,Marital ST,Income,Salary Hike,Years in Co.,Job Role,Job Level,Department,Performance,Env. Satisf,Job Satisf,Job Involv,Yr. since promo,No. training,WorkLifeBalance,YearsWithCurrManager,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,Education,EducationField,DistanceFromHome
1,No,Female,2,Married,131160,11,1,Healthcare Representative,1,Sales,3,3.0,4.0,3,0,6,2.0,0,0,0,0,2,Life Sciences,1
2,Yes,Female,1,Single,41890,23,5,Research Scientist,1,Research & Development,4,3.0,2.0,2,1,3,4.0,4,1,0,0,1,Life Sciences,2
3,No,Male,1,Married,193280,15,5,Sales Executive,4,Research & Development,3,2.0,2.0,3,0,2,1.0,3,3,0,0,4,Other,3
4,No,Male,2,Married,83210,11,8,Human Resources,3,Research & Development,3,4.0,4.0,2,7,5,3.0,5,3,1,1,5,Life Sciences,0
5,No,Male,1,Single,23420,12,6,Sales Executive,1,Research & Development,3,4.0,1.0,3,0,2,3.0,4,2,0,2,1,Medical,2
6,No,Female,2,Married,40710,13,7,Research Director,4,Research & Development,3,3.0,2.0,3,7,5,2.0,7,0,2,1,3,Life Sciences,1
7,Yes,Male,1,Single,58130,20,0,Sales Executive,2,Research & Development,4,1.0,3.0,3,0,2,1.0,0,1,0,1,2,Medical,2
8,No,Male,1,Married,31430,22,0,Sales Executive,2,Research & Development,4,1.0,2.0,3,0,2,3.0,0,3,1,1,3,Life Sciences,3
9,No,Male,1,Married,20440,21,9,Laboratory Technician,3,Research & Development,4,2.0,4.0,3,7,2,3.0,8,0,1,0,3,Life Sciences,0
10,No,Female,1,Divorced,134640,13,6,Laboratory Technician,4,Research & Development,3,2.0,1.0,3,1,2,3.0,5,1,0,0,4,Medical,1
11,No,Male,2,Married,79910,13,20,Laboratory Technician,2,Research & Development,3,3.0,4.0,2,4,2,3.0,10,2,2,0,2,Medical,3
13,No,Female,3,Single,55380,17,36,Sales Executive,1,Research & Development,3,4.0,1.0,3,4,2,3.0,13,0,3,0,4,Life Sciences,2
14,Yes,Male,2,Married,57620,11,10,Research Scientist,1,Research & Development,3,1.0,2.0,2,9,4,2.0,9,2,1,0,1,Medical,0
15,No,Male,1,Married,25920,14,5,Manufacturing Director,1,Research & Development,3,4.0,4.0,3,0,2,2.0,4,0,0,0,3,Life Sciences,0
16,No,Male,1,Married,53460,11,5,Healthcare Representative,2,Research & Development,3,3.0,4.0,3,0,2,4.0,1,0,0,2,3,Life Sciences,0
17,No,Male,0,Single,42130,12,3,Laboratory Technician,1,Research & Development,3,4.0,3.0,2,1,3,4.0,0,3,0,0,2,Life Sciences,0
18,No,Male,1,Divorced,41270,13,5,Sales Executive,2,Research & Development,3,1.0,4.0,3,0,2,3.0,2,1,1,1,3,Medical,0
19,No,Male,1,Divorced,24380,16,7,Sales Representative,1,Sales,3,2.0,2.0,2,6,5,2.0,2,0,1,3,4,Life Sciences,1
20,No,Female,2,Divorced,68700,11,8,Manager,1,Research & Development,3,1.0,1.0,3,7,5,3.0,7,1,0,0,3,Life Sciences,1
21,No,Male,1,Divorced,104470,18,6,Laboratory Technician,2,Research & Development,3,3.0,2.0,3,1,3,1.0,4,0,0,0,4,Other,0
22,No,Male,2,Divorced,96670,23,10,Research Scientist,1,Sales,4,1.0,2.0,2,1,2,2.0,6,0,2,1,4,Life Sciences,1
23,No,Female,2,Married,21480,11,5,Research Scientist,2,Research & Development,3,3.0,3.0,3,1,2,2.0,3,0,2,1,4,Life Sciences,2
25,No,Male,1,Single,65130,11,10,Laboratory Technician,1,Research & Development,3,2.0,4.0,3,0,2,2.0,9,1,1,0,4,Medical,3
26,No,Female,3,Married,67990,11,10,Research Scientist,1,Research & Development,3,2.0,4.0,3,0,2,3.0,8,0,1,1,4,Other,0
27,No,Female,1,Married,162910,22,5,Manager,1,Research & Development,4,1.0,1.0,3,3,3,3.0,3,0,0,0,3,Life Sciences,1
28,No,Male,1,Single,27050,11,17,Research Scientist,1,Sales,3,4.0,4.0,3,5,2,3.0,7,0,1,0,1,Marketing,1
29,Yes,Male,2,Divorced,103330,14,1,Research Scientist,2,Research & Development,3,4.0,3.0,2,0,2,1.0,0,1,1,1,2,Medical,0
30,No,Female,2,Divorced,44480,12,2,Manager,1,Sales,3,4.0,4.0,2,1,3,3.0,2,0,1,4,3,Marketing,0
31,Yes,Male,1,Divorced,68540,11,3,Research Scientist,3,Research & Development,3,1.0,2.0,2,0,5,3.0,2,0,0,1,3,Medical,0
32,No,Male,1,Single,96370,13,5,Human Resources,1,Research & Development,3,4.0,4.0,2,0,6,3.0,2,0,0,0,3,Other,1
33,No,Female,2,Single,35910,13,3,Research Scientist,2,Research & Development,3,3.0,1.0,3,1,2,3.0,2,0,2,4,1,Medical,0
34,No,Male,1,Single,54050,14,8,Sales Executive,3,Sales,3,3.0,2.0,3,7,2,3.0,7,0,1,2,3,Technical Degree,1
35,No,Male,1,Divorced,46840,16,2,Sales Executive,1,Research & Development,3,4.0,2.0,3,2,4,2.0,2,1,0,0,4,Medical,1
36,Yes,Male,1,Single,157870,12,8,Manager,2,Research & Development,3,4.0,4.0,3,7,5,3.0,4,2,0,0,3,Medical,1
37,No,Male,1,Married,15140,14,4,Laboratory Technician,1,Sales,3,2.0,4.0,3,1,3,2.0,2,0,0,0,1,Marketing,1
38,No,Male,2,Married,29560,13,20,Research Director,3,Sales,3,3.0,2.0,3,4,2,4.0,8,0,2,2,2,Marketing,0
39,Yes,Male,0,Single,23350,14,0,Sales Executive,1,Research & Development,3,3.0,3.0,2,0,3,3.0,0,2,0,0,4,Life Sciences,0
40,No,Male,1,Married,51540,19,11,Laboratory Technician,1,Sales,3,3.0,2.0,2,6,2,2.0,9,0,1,0,2,Life Sciences,4
42,No,Male,2,Divorced,56750,13,4,Laboratory Technician,2,Research & Development,3,4.0,2.0,2,1,2,3.0,2,0,1,2,3,Life Sciences,0
43,No,Male,2,Single,23790,12,22,Laboratory Technician,1,Research & Development,3,4.0,2.0,3,0,6,3.0,4,0,2,0,1,Life Sciences,5
44,No,Male,0,Single,38120,15,0,Research Scientist,1,Sales,3,4.0,3.0,3,0,3,3.0,0,0,0,0,3,Life Sciences,1
45,No,Male,1,Single,46480,23,8,Sales Representative,1,Research & Development,4,2.0,1.0,2,0,2,3.0,7,2,0,0,3,Medical,1
46,No,Male,1,Married,29360,12,8,Manufacturing Director,1,Research & Development,3,2.0,4.0,3,7,2,2.0,7,1,1,2,1,Technical Degree,1
47,No,Female,2,Divorced,21050,20,18,Human Resources,2,Sales,4,3.0,4.0,3,3,3,2.0,7,0,1,0,4,Marketing,1
48,No,Male,1,Married,85780,21,9,Sales Executive,1,Research & Development,4,2.0,2.0,3,0,4,3.0,8,0,1,3,4,Life Sciences,1
49,No,Male,1,Married,27060,21,13,Laboratory Technician,2,Sales,4,4.0,3.0,3,4,4,2.0,8,1,1,0,3,Marketing,0
50,No,Female,2,Married,63840,19,10,Research Scientist,3,Research & Development,3,1.0,2.0,2,0,4,3.0,1,2,1,1,2,Life Sciences,1
51,No,Male,3,Divorced,39680,13,5,Manufacturing Director,2,Research & Development,3,4.0,3.0,2,1,3,3.0,2,2,1,1,3,Life Sciences,0
52,No,Female,1,Married,99070,13,5,Research Scientist,3,Research & Development,3,3.0,4.0,2,0,3,3.0,3,1,0,0,1,Technical Degree,4
53,No,Male,1,Married,132250,21,2,Sales Executive,2,Sales,4,1.0,1.0,3,1,2,3.0,0,1,0,1,4,Marketing,1
54,No,Female,2,Divorced,35400,13,24,Sales Executive,1,Research & Development,3,1.0,1.0,3,9,6,3.0,11,0,2,0,1,Medical,0
55,No,Female,1,Divorced,28040,19,2,Research Scientist,2,Sales,3,3.0,4.0,3,2,0,1.0,2,2,0,0,4,Marketing,3
56,No,Male,1,Married,193920,12,10,Research Director,4,Research & Development,3,4.0,2.0,3,8,3,3.0,8,1,1,3,3,Life Sciences,1
57,No,Male,2,Married,196650,22,21,Sales Executive,1,Sales,4,3.0,1.0,3,11,6,3.0,10,1,2,0,4,Life Sciences,0
58,No,Male,2,Single,24390,15,8,Research Scientist,4,Research & Development,3,3.0,4.0,3,1,2,3.0,7,0,0,0,4,Medical,1
59,No,Male,2,Single,73140,22,7,Manufacturing Director,3,Research & Development,4,3.0,3.0,3,0,2,3.0,7,0,2,3,3,Life Sciences,0
60,Yes,Female,2,Married,47740,18,8,Research Scientist,2,Research & Development,3,3.0,2.0,3,7,2,2.0,7,1,1,1,1,Life Sciences,1
61,No,Male,1,Single,39020,22,4,Research Scientist,3,Research & Development,4,3.0,2.0,3,1,2,2.0,2,0,0,0,4,Medical,3
62,No,Male,1,Married,26620,11,13,Research Scientist,3,Research & Development,3,3.0,2.0,4,11,6,3.0,9,1,1,0,3,Life Sciences,0
63,No,Female,1,Single,28560,12,5,Research Director,4,Research & Development,3,4.0,3.0,4,0,5,3.0,4,2,0,0,2,Medical,2
64,No,Male,1,Divorced,10810,11,7,Healthcare Representative,2,Sales,3,4.0,4.0,4,1,4,3.0,7,3,1,2,3,Life Sciences,4
65,No,Male,1,Single,24720,13,7,Healthcare Representative,2,Research & Development,3,1.0,4.0,3,0,2,2.0,7,0,1,3,3,Technical Degree,1
66,Yes,Male,1,Married,56730,14,3,Sales Executive,1,Research & Development,3,1.0,4.0,2,2,4,2.0,2,1,0,2,4,Medical,1
67,No,Female,1,Married,41970,13,10,Research Director,4,Research & Development,3,4.0,4.0,3,1,3,3.0,9,0,1,0,3,Life Sciences,2
68,No,Female,1,Married,97130,17,10,Manager,1,Research & Development,3,3.0,3.0,2,8,5,3.0,9,0,1,0,1,Life Sciences,0
69,No,Female,2,Married,20620,13,21,Research Scientist,1,Research & Development,3,3.0,4.0,3,13,4,3.0,3,0,2,0,4,Medical,3
70,Yes,Female,2,Married,42840,17,1,Laboratory Technician,1,Research & Development,3,4.0,3.0,3,0,0,2.0,0,1,1,2,1,Medical,0
71,No,Male,1,Single,47880,11,7,Research Scientist,4,Sales,3,2.0,4.0,3,0,0,2.0,1,1,0,1,2,Life Sciences,0
72,No,Female,2,Married,59060,23,3,Healthcare Representative,2,Research & Development,4,4.0,3.0,4,1,4,3.0,1,0,2,2,3,Life Sciences,0
73,No,Female,2,Divorced,38860,17,9,Research Director,5,Research & Development,3,3.0,3.0,3,0,2,4.0,0,2,0,0,3,Medical,2
74,No,Male,1,Married,168230,17,5,Research Director,1,Research & Development,3,3.0,2.0,3,1,3,3.0,4,0,0,0,3,Life Sciences,0
75,No,Male,3,Single,29330,12,4,Research Scientist,2,Research & Development,3,4.0,3.0,3,0,2,2.0,3,2,2,1,4,Life Sciences,0
76,No,Female,2,Married,65000,23,1,Manager,2,Research & Development,4,3.0,1.0,3,0,3,2.0,0,0,1,4,2,Life Sciences,1
