Gender,EmployeeID,MonthlyIncome,PerformanceRating,PercentSalaryHike,JobLevel,Education,JobInvolvement,StockOptionLevel,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,JR_HealthRep,JR_HHRR,JR_LabTec,JR_Man,JR_MftDir,JR_ResDir,JR_ResSci,JR_SaleExc,JR_SaleRep,MaritalStatus,DistanceFromHome,TotalWorkingYears,Age,NumCompaniesWorked,Dept_HHRR,Dept_R&Dev,Dept_Sales,Ed_HHRR,Ed_LifeSci,Ed_Mktg,Ed_Med,Ed_Tech,Ed_Other,BusinessTravel,Attrition
1,1,131160,3,11,1,2,3,0,1,3.0,4.0,2.0,6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0
1,2,41890,4,23,1,1,2,1,5,3.0,2.0,4.0,3,1,4,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,2,1
0,3,193280,3,15,4,4,3,3,5,2.0,2.0,1.0,2,0,3,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,2,0
0,4,83210,3,11,3,5,2,3,8,4.0,4.0,3.0,5,7,5,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0
0,5,23420,3,12,1,1,3,2,6,4.0,1.0,3.0,2,0,4,0,0,0,0,0,0,0,1,0,2,2,0,1,2,0,1,0,0,0,0,1,0,0,1,0
1,6,40710,3,13,4,3,3,0,7,3.0,2.0,2.0,5,7,7,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,1,0,0,1,0,0,0,0,1,0
0,7,58130,4,20,2,2,3,1,0,1.0,3.0,1.0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,1,0,0,0,0,1,0,0,1,1
0,8,31430,4,22,2,3,3,3,0,1.0,2.0,3.0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,1,0,1,0,0,1,0,0,0,0,1,0
0,9,20440,4,21,3,3,3,0,9,2.0,4.0,3.0,2,7,8,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,10,134640,3,13,4,4,3,1,6,2.0,1.0,3.0,2,1,5,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,11,79910,3,13,2,2,2,2,20,3.0,4.0,3.0,2,4,10,0,0,1,0,0,0,0,0,0,1,3,2,2,0,0,1,0,0,0,0,1,0,0,1,0
1,13,55380,3,17,1,4,3,0,36,4.0,1.0,3.0,2,4,13,0,0,0,0,0,0,0,1,0,2,2,3,3,0,0,1,0,0,1,0,0,0,0,1,0
0,14,57620,3,11,1,1,2,2,10,1.0,2.0,2.0,4,9,9,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1
0,15,25920,3,14,1,3,3,0,5,4.0,4.0,2.0,2,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,16,53460,3,11,2,3,3,0,5,3.0,4.0,4.0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0
0,17,42130,3,12,1,2,2,3,3,4.0,3.0,4.0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,18,41270,3,13,2,3,3,1,5,1.0,4.0,3.0,2,0,2,0,0,0,0,0,0,0,1,0,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
0,19,24380,3,16,1,4,2,0,7,2.0,2.0,2.0,5,6,2,0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,0,1,0,1,0,0,0,0,1,0
1,20,68700,3,11,1,3,3,1,8,1.0,1.0,3.0,5,7,7,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0
0,21,104470,3,18,2,4,3,0,6,3.0,2.0,1.0,3,1,4,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0
0,22,96670,4,23,1,4,2,0,10,1.0,2.0,2.0,2,1,6,0,0,0,0,0,0,1,0,0,3,1,2,2,1,0,0,1,0,1,0,0,0,0,1,0
1,23,21480,3,11,2,4,3,0,5,3.0,3.0,2.0,2,1,3,0,0,0,0,0,0,1,0,0,1,2,2,2,1,0,1,0,0,1,0,0,0,0,1,0
0,25,65130,3,11,1,4,3,1,10,2.0,4.0,2.0,2,0,9,0,0,1,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0,0,0,1,0,0,2,0
1,26,67990,3,11,1,4,3,0,10,2.0,4.0,3.0,2,0,8,0,0,0,0,0,0,1,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,1,1,0
1,27,162910,4,22,1,3,3,0,5,1.0,1.0,3.0,3,3,3,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0
0,28,27050,3,11,1,1,3,0,17,4.0,4.0,3.0,2,5,7,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,29,103330,3,14,2,2,2,1,1,4.0,3.0,1.0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,1,0,1,0,0,0,0,1,0,0,2,1
1,30,44480,3,12,1,3,2,0,2,4.0,4.0,3.0,3,1,2,0,0,0,1,0,0,0,0,0,3,0,1,2,4,0,0,1,0,0,1,0,0,0,1,0
0,31,68540,3,11,3,3,2,0,3,1.0,2.0,3.0,5,0,2,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
0,32,96370,3,13,1,3,2,0,5,4.0,4.0,3.0,6,0,2,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1,33,35910,3,13,2,1,3,0,3,3.0,1.0,3.0,2,1,2,0,0,0,0,0,0,1,0,0,2,0,2,2,4,0,1,0,0,0,0,1,0,0,2,0
0,34,54050,3,14,3,3,3,0,8,3.0,2.0,3.0,2,7,7,0,0,0,0,0,0,0,1,0,2,1,1,1,2,0,0,1,0,0,0,0,1,0,1,0
0,35,46840,3,16,1,4,3,1,2,4.0,2.0,2.0,4,2,2,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0
0,36,157870,3,12,2,3,3,2,8,4.0,4.0,3.0,5,7,4,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1
0,37,15140,3,14,1,1,3,0,4,2.0,4.0,2.0,3,1,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0
0,38,29560,3,13,3,2,3,0,20,3.0,2.0,4.0,2,4,8,0,0,0,0,0,1,0,0,0,1,0,2,2,2,0,0,1,0,0,1,0,0,0,2,0
0,39,23350,3,14,1,4,2,2,0,3.0,3.0,3.0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,40,51540,3,19,1,2,2,0,11,3.0,2.0,2.0,2,6,9,0,0,1,0,0,0,0,0,0,1,4,1,1,0,0,0,1,0,1,0,0,0,0,1,0
0,42,56750,3,13,2,3,2,0,4,4.0,2.0,3.0,2,1,2,0,0,1,0,0,0,0,0,0,3,0,1,2,2,0,1,0,0,1,0,0,0,0,1,0
0,43,23790,3,12,1,1,3,0,22,4.0,2.0,3.0,6,0,4,0,0,1,0,0,0,0,0,0,2,5,2,2,0,0,1,0,0,1,0,0,0,0,1,0
0,44,38120,3,15,1,3,3,0,0,4.0,3.0,3.0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,45,46480,4,23,1,3,2,2,8,2.0,1.0,3.0,2,0,7,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,46,29360,3,12,1,1,3,1,8,2.0,4.0,2.0,2,7,7,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,1,0
1,47,21050,4,20,2,4,3,0,18,3.0,4.0,2.0,3,3,7,0,1,0,0,0,0,0,0,0,3,1,1,2,0,0,0,1,0,0,1,0,0,0,1,0
0,48,85780,4,21,1,4,3,0,9,2.0,2.0,3.0,4,0,8,0,0,0,0,0,0,0,1,0,1,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0
0,49,27060,4,21,2,3,3,1,13,4.0,3.0,2.0,4,4,8,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
1,50,63840,3,19,3,2,2,2,10,1.0,2.0,3.0,4,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,1,0,0,1,0,0,0,0,1,0
0,51,39680,3,13,2,3,2,2,5,4.0,3.0,3.0,3,1,2,0,0,0,0,1,0,0,0,0,3,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0
1,52,99070,3,13,3,1,2,1,5,3.0,4.0,3.0,3,0,3,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,53,132250,4,21,2,4,3,1,2,1.0,1.0,3.0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0
